word,"word", "word.exe","iconSettings\my collection\word processor - libreoffice.png"
firefox,"mozilla","firefox","iconSettings\my collection\firefoxESR.ico"
chrome,"","chrome","iconSettings\my collection\chrome.png"
edge,"","edge","iconSettings\my collection\steampunk letter text icons\epub-open-envelope.png"
opera,"","opera","iconSettings\my collection\steampunk icons MKI\opera.ico"
photoshop,"adobe","photoshop","iconSettings\my collection\photoshop-CS.png"
adobe reader,"adobe","reader","iconSettings\my collection\steampunk icons MKIV\diary-magnify.png"
excel,"microsoft","excel","iconSettings\my collection\spreadsheet-libreoffice.png"
powerpoint,"microsoft","powerpoint",""
steam,"","steam",""
skype,"microsoft","skype","iconSettings\my collection\skype.png"
nero,"","nero",""
picasa,"","picasa",""
openoffice,"openoffice","swriter.exe","iconSettings\my collection\word processor - libreoffice.png"
openoffice,"openoffice","sbase.exe","iconSettings\my collection\word processor - libreoffice.png"
openoffice,"openoffice","sdraw.exe","iconSettings\my collection\word processor - libreoffice.png"
openoffice,"openoffice","simpress.exe","iconSettings\my collection\word processor - libreoffice.png"
openoffice,"openoffice","smath.exe","iconSettings\my collection\word processor - libreoffice.png"
openoffice,"openoffice","scalc.exe","iconSettings\my collection\spreadsheet-libreoffice.png"
openoffice,"openoffice","soffice.exe","iconSettings\my collection\my folder.png"
libreoffice,"libreoffice","swriter.exe","iconSettings\my collection\word processor - libreoffice.png"
libreoffice,"libreoffice","sbase.exe","iconSettings\my collection\word processor - libreoffice.png"
libreoffice,"libreoffice","sdraw.exe","iconSettings\my collection\word processor - libreoffice.png"
libreoffice,"libreoffice","simpress.exe","iconSettings\my collection\word processor - libreoffice.png"
libreoffice,"libreoffice","smath.exe","iconSettings\my collection\word processor - libreoffice.png"
libreoffice,"libreoffice","scalc.exe","iconSettings\my collection\spreadsheet-libreoffice.png"
libreoffice,"libreoffice","soffice.exe","iconSettings\my collection\my folder.png"
quicktime,"","quicktime",""
vlc,"videolan","vlc.exe","iconSettings\my collection\steampunk stamp icons\gill-vlc-player.png"
winrar,"","winrar",""
thunderbird,"mozilla","Thunderbird","iconSettings\my collection\email- thunderbird.png"
itunes,"","itunes",""
winamp,"","winamp",""
powerdvd,"","powerdvd",""
realplayer,"","realplayer",""
foxit,"","foxit",""
malwarebytes,"","malwarebytes",""
avg,"","avg",""
daemon,"","daemon",""
dropbox,"","dropbox",""
everything,"","everything","iconSettings\my collection\programs and features.ico"
avast,"","avast",""
avira,"","avira",""
kapersky,"","kapersky",""
cpu-z,"CPUID","cpu-z","iconSettings\my collection\cpu-z.png"
gpu-z,"","gpu-z","iconSettings\my collection\gpu-z.png"
nero,"","",""
audacity,"","audacity","iconSettings\my collection\Audacity.png"
idrive,"","",""
onedrive,"","",""
ccleaner,"","",""
zoom,"","",""
kindle,"","","iconSettings\my collection\steampunk icons mkiv\diary-magnify.png"
outlook,"microsoft","outlook","iconSettings\my collection\email- thunderbird.png"
filezilla,"","",""
winscp,"","",""
zip,"","",""
gimp,"","",""
notepad++,"","",""
google drive,"","",""
rjtexted,"rj texted","texted",""
indesign,"","",""
scribus,"","",""
teamviewer,"","",""
lightworks,"","",""
blender,"","",""
handbrake,"","",""
virtualbox,"","",""
hwinfo,"hwinfo","hwinfo","iconSettings\my collection\hwinfo64.png"